clause,clause,distance
1,2,inf
1,3,42.0
1,4,inf
1,5,42.0
1,6,36.0
1,7,16.08074284335087
1,8,10.492855957678502
1,9,36.0
1,10,inf
1,11,16.0
1,12,36.0
1,13,22.0
1,14,inf
1,15,36.0
1,16,inf
1,17,18.0
1,18,inf
1,19,inf
1,20,inf
1,21,inf
1,22,inf
1,23,inf
1,24,inf
1,25,inf
1,26,inf
1,27,64.0
1,28,inf
1,29,inf
1,30,24.0
1,31,inf
1,32,inf
1,33,42.0
1,34,inf
1,35,70.0
1,36,12.0
1,37,56.0
1,38,96.0
1,39,36.0
1,40,inf
1,41,36.0
1,42,12.316137715318517
1,43,inf
1,44,inf
1,45,16.0
1,46,inf
1,47,21.051351538135577
1,48,inf
1,49,inf
1,50,inf
1,51,28.0
1,52,36.0
1,53,inf
1,54,inf
1,55,inf
1,56,28.269175177793674
1,57,inf
1,58,inf
1,59,inf
1,60,inf
1,61,inf
1,62,120.0
1,63,inf
1,64,inf
1,65,inf
1,66,112.54774974011279
1,67,inf
1,68,inf
1,69,inf
1,70,inf
1,71,36.0
1,72,inf
1,73,inf
1,74,70.3423435875705
1,75,54.0
1,76,inf
1,77,42.0
1,78,inf
1,79,inf
1,80,inf
1,81,inf
1,82,inf
1,83,42.0
1,84,144.0
1,85,inf
1,86,inf
1,87,56.0
1,88,inf
1,89,inf
1,90,inf
1,91,inf
1,92,32.0
1,93,inf
1,94,inf
1,95,36.0
1,96,inf
1,97,inf
1,98,inf
1,99,inf
1,100,56.0
1,101,154.0
1,102,182.0
1,103,inf
1,104,28.0
1,105,28.0
1,106,inf
1,107,inf
1,108,inf
1,109,inf
1,110,28.0
1,111,98.0
1,112,inf
1,113,84.0
1,114,inf
1,115,inf
1,116,36.0
1,117,inf
1,118,84.0
1,119,inf
1,120,19.5
1,121,inf
1,122,inf
1,123,inf
1,124,inf
1,125,inf
1,126,inf
1,127,inf
1,128,inf
1,129,inf
1,130,inf
1,131,inf
1,132,inf
1,133,inf
